edit_history_tweet_ids,created_at,text,id,author_id
['1877685571570594293'],2025-01-10T11:55:00.000Z,Foodkida on LinkedIn: #cocacola #petbottle #foodtechnology #foodindustry https://t.co/NdrWcz4W1R,1877685571570594293,1873827097057107968
['1877675206505828799'],2025-01-10T11:13:49.000Z,@elonmusk They put the demon in the drink: Coca Cola #Coke #CocaCola https://t.co/BMft77Bmcv,1877675206505828799,1491389611448410112
['1877666099300647422'],2025-01-10T10:37:38.000Z,"🎅✨ The Magical History of Santa Claus: From Saint Nicholas to Modern-Day Icon 🎄🦌on
#santaclaus  #historyofsanta #christmastraditions  #saintnicholas  #sinterklaas  #santastories  #santa #cocacola #northpole 
#ChristmasHistory
https://t.co/UUmOxB1Mew",1877666099300647422,1877246845858230273
['1877648357428023387'],2025-01-10T09:27:08.000Z,"Gladys Escola’s story wasn’t just about a Coca-Cola bottle—it was about accountability. Her case paved the way for strict liability in product safety, shifting the burden to companies to ensure what they sell is safe. #productliability #fresno #cocacola https://t.co/nlhFDTNzk9",1877648357428023387,29270332
['1877576098902356351'],2025-01-10T04:40:00.000Z,"Vintage-Style Coca Cola Soda Fountain Glass https://t.co/Ao6ceZHB9o via @Etsy

Get 25% Off Orders of 2 or More Items

#cocacola #coke #cocacolacollector #cokecollectibles #sodafountain #libbeyglass #sodaglass #drinkware #cokecollector #etsyvintage #kitchenware #glassware",1877576098902356351,860601814659592192
['1877553450348851423'],2025-01-10T03:10:00.000Z,"2004 Coca Cola Cafe Serving Bowl https://t.co/2wE2qDKIYm via @Etsy

Get 25% Off Orders of 2 or More Items

#cocacola #coke #cocacolacafe #kitchenware #dinnerware #servingbowl #saladbowl #bowl #cocacolacollector #cokecollectibles #vintagestyle #tableware #cokecollector",1877553450348851423,860601814659592192
['1877547990862147852'],2025-01-10T02:48:18.000Z,Yep Meme lord King you do.  If you're gonna do the COKE it's either regular or cherry you go with !!!!! Diet is piss in the sugary drink game! #cocacola https://t.co/Tj1PW84vZC,1877547990862147852,1840282388196368384
['1877540866900033758'],2025-01-10T02:20:00.000Z,"2002 Coca Cola Checkered Mixing Bowl https://t.co/NVzuHOQ6tS via @Etsy

#OnSale - 15% Off and #FreeShipping thru 1/13/25

#cocacola #coke #mixingbowl #bowl #servingbowl #cocacolacollector #cokecollectibles #kitchenware #bakeware #dinnerware #VintageEtsy #etsysale #cookware",1877540866900033758,860601814659592192
['1877532442422054946'],2025-01-10T01:46:31.000Z,"@j4s0n_com @caitoz Ha! 
This one always gets me. 

Both have the same attitude towards Indigenous people Palestinians as well, 'coincidentally'.
#benchmarkcompetition #CocaCola $KO $PEP #Pepsi",1877532442422054946,384213289
['1877492310931349940'],2025-01-09T23:07:03.000Z,"@elonmusk I have no problem 
#cocacola 
Elon musk offer you something big",1877492310931349940,1602117913158504454
['1877468591286526072'],2025-01-09T21:32:48.000Z,Foodkida on LinkedIn: #cocacola #petbottle #foodtechnology #foodindustry https://t.co/zPCA68ZHuO,1877468591286526072,1873827097057107968
['1877467196453961850'],2025-01-09T21:27:15.000Z,"@elonmusk Does it helpful for body ??
Why u permot it ..
You will going to buy #cocacola ??",1877467196453961850,1602117913158504454
['1877456415226253695'],2025-01-09T20:44:25.000Z,"Ronaldo ristrict cock few years ago 
But now elon musk drink a huge Quantity of coke..
#coke #cocacola #ElonMusk #health #christianoronaldo https://t.co/WBOcmMfHwe",1877456415226253695,1602117913158504454
['1877454363632816446'],2025-01-09T20:36:16.000Z,"@elonmusk We boycott #CocaCola and every single supporter of genocide. A bon entendeur, salut.",1877454363632816446,1663915028896948227
['1877428537742725372'],2025-01-09T18:53:38.000Z,"Coca-cola vibes with beautiful Anna! ♥️

Remember you can support my art work on my Patre0n page! All photos are published in high-resolution and original form.

#cocacola #bodypositive #analoguephotography #sensualphoto https://t.co/5a8KFSYOhk",1877428537742725372,1441486373593223169
['1877422294340964743'],2025-01-09T18:28:50.000Z,Foodkida on LinkedIn: #cocacola #petbottle #foodtechnology #foodindustry https://t.co/3aPCdzt1tO,1877422294340964743,1873827097057107968
['1877403713528021123'],2025-01-09T17:15:00.000Z,"1996 Coca Cola Soda Fountain Sweetheart Barbie Doll  https://t.co/GS2k2TDzk3 via @Etsy

Get 25% Off Orders of 2 or More Items

#cocacola #barbie #coke #barbiecollector #cocacolacollector #dollcollector #vintagedoll #barbiedoll #cokecollectibles #vintagefinds #cokecollector",1877403713528021123,860601814659592192
['1877401812623327571'],2025-01-09T17:07:27.000Z,@elonmusk Have you just bought the #CocaCola Holdings company Elon🤔🤣,1877401812623327571,1223674925891964930
['1877389872840728757'],2025-01-09T16:20:00.000Z,"At Heartland we offer benefits such as our Tuition Reimbursement Program designed to support your physical, mental, and financial well-being. For more information on how to join a team that values you, visit https://t.co/wFlwkVzZf6 #Careers #Work4Coke #CocaCola #Hiring #Benefits https://t.co/WpqZ1xdxeO",1877389872840728757,898385217802686465
['1877387607526531525'],2025-01-09T16:11:00.000Z,"Did Coca Cola invent Santa Claus?

Well the answer might surprise you, because while they didn’t invent the mythical figure, they did popularize the image of him that we know and love today.

Marketing is more powerful than you think ladies and gentlemen.

#SantaClaus #CocaCola… https://t.co/0vKulolI2J https://t.co/gpkluTrHQy",1877387607526531525,1293656509713387526
['1877364526422585664'],2025-01-09T14:39:17.000Z,"I create Cold Coca-Cola Can for my client if anyone need this dm me for more details check out my company portfolio 
https://t.co/Sz1J1bdCWj
#CocaCola #ColdCan #RefreshingDesign #CokeLovers #CreativePackaging #SodaArt #DrinkDesign #GraphicDesign #PackagingDesign https://t.co/MQWr0DLXSv",1877364526422585664,1844385359804891136
['1877355065054277827'],2025-01-09T14:01:41.000Z,"New Business Alert!

Welcoming #RomasPizza in Lansdale, PA to the #LibertyCocaCola family! The restaurant is known for its variety in taste and fresh ingredients, now perfectly paired with a #CocaCola product! Great job Paris Mammana and the Philly team for this win! https://t.co/4SM79wmwpQ",1877355065054277827,862747627200417792
['1877330694625443911'],2025-01-09T12:24:51.000Z,"Discover how the fight for water justice, led by Adivasi leader Mayilamma, underscores the ongoing battle for compensation, sustainability, and recognition of indigenous rights.

 #CocaCola #Struggle #Plachimada #Mayilamma https://t.co/ExPk2bSa2T",1877330694625443911,2557037977
['1877323397471817818'],2025-01-09T11:55:51.000Z,"Happiness is here, Coca-Cola is here! 🥤✨ We’re feeling bubbly and full of joy as we officially start vendoring for @CocaCola! #TasteTheFeeling. ❤️🎉 #Happiness #cocacola https://t.co/yMXi2XqL8u",1877323397471817818,1434517524251512832
['1877305954846326813'],2025-01-09T10:46:32.000Z,"On a hot day, you always want to freshen up💦☀️

#nsfw #cocacola #girl #hot https://t.co/egiI4lSy3E",1877305954846326813,1785092111253331968
['1877275429318295749'],2025-01-09T08:45:15.000Z,"https://t.co/iDBef7DUPv
PepsiCo
Thread topic:
Some managers really need to go
$PEP #pepsico #Harrison #NewYork #snacks #PanteyShop #pepsi #beverages #CocaCola #layoff #layoffs #jobcut #joblosses #economy 🤖",1877275429318295749,1564880490548498432
['1877213751180398828'],2025-01-09T04:40:09.000Z,"Did you know? 🤔 

Coca-Cola was originally green! 🍃 The iconic drink was first made in 1886 and got its brown color after caramel coloring was added later. Today, it’s one of the most recognized brands in the world. 🥤 #DidYouKnow #CocaCola https://t.co/ZTqB3vnilp",1877213751180398828,1851922399606030336
